Species;Taxa;Sex;Age.d;Weght.g;Length.cm;Asymptotic weight.g;Asymptotic length.cm;Paper ;Comments
Doryteuthis pealeii;Squid;NA;701.5;519.1104272;27;1527.660269;45;Kooijman 2010 / Summers, W. C. (1971). Age and growth of loligo pealei, a population study of the common atlantic coast squid. Biol. Bull, 141:189--201. ;Max weight or length are found in littérature convert from length to weight if no weight data. The biggest between litterature and our data as been reported here. 
Doryteuthis pealeii;Squid;NA;671;439.6149594;25;1527.660269;45;Kooijman 2010 / Summers, W. C. (1971). Age and growth of loligo pealei, a population study of the common atlantic coast squid. Biol. Bull, 141:189--201. ;
Doryteuthis pealeii;Squid;NA;610;367.16634;23;1527.660269;45;Kooijman 2010 / Summers, W. C. (1971). Age and growth of loligo pealei, a population study of the common atlantic coast squid. Biol. Bull, 141:189--201. ;
Doryteuthis pealeii;Squid;NA;549;301.6712294;21;1527.660269;45;Kooijman 2010 / Summers, W. C. (1971). Age and growth of loligo pealei, a population study of the common atlantic coast squid. Biol. Bull, 141:189--201. ;
Doryteuthis pealeii;Squid;NA;488;271.5001617;20;1527.660269;45;Kooijman 2010 / Summers, W. C. (1971). Age and growth of loligo pealei, a population study of the common atlantic coast squid. Biol. Bull, 141:189--201. ;
Doryteuthis pealeii;Squid;NA;427;216.2444126;18;1527.660269;45;Kooijman 2010 / Summers, W. C. (1971). Age and growth of loligo pealei, a population study of the common atlantic coast squid. Biol. Bull, 141:189--201. ;
Doryteuthis pealeii;Squid;NA;366;167.6747714;16;1527.660269;45;Kooijman 2010 / Summers, W. C. (1971). Age and growth of loligo pealei, a population study of the common atlantic coast squid. Biol. Bull, 141:189--201. ;
Doryteuthis pealeii;Squid;NA;305;125.66636;14;1527.660269;45;Kooijman 2010 / Summers, W. C. (1971). Age and growth of loligo pealei, a population study of the common atlantic coast squid. Biol. Bull, 141:189--201. ;
Doryteuthis pealeii;Squid;NA;244;90.08034425;12;1527.660269;45;Kooijman 2010 / Summers, W. C. (1971). Age and growth of loligo pealei, a population study of the common atlantic coast squid. Biol. Bull, 141:189--201. ;
Doryteuthis pealeii;Squid;NA;183;60.75996979;10;1527.660269;45;Kooijman 2010 / Summers, W. C. (1971). Age and growth of loligo pealei, a population study of the common atlantic coast squid. Biol. Bull, 141:189--201. ;
Doryteuthis pealeii;Squid;NA;122;28.12331376;7;1527.660269;45;Kooijman 2010 / Summers, W. C. (1971). Age and growth of loligo pealei, a population study of the common atlantic coast squid. Biol. Bull, 141:189--201. ;
Doryteuthis pealeii;Squid;NA;61;8.397744093;4;1527.660269;45;Kooijman 2010 / Summers, W. C. (1971). Age and growth of loligo pealei, a population study of the common atlantic coast squid. Biol. Bull, 141:189--201. ;
